model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_age,price_per_mile
1 series,2016,13000,manual,26631,petrol,125,52.3,1.5,10,0.4881529045097818
1 series,2016,12500,manual,24111,petrol,145,47.1,1.6,10,0.5184355688275061
3 series,2017,13600,manual,22763,petrol,145,48.7,2.0,9,0.5974607916355489
3 series,2016,12700,manual,17385,diesel,20,72.4,2.0,10,0.730514811619212
5 series,2016,15600,automatic,35474,diesel,125,60.1,2.0,10,0.43975869651012006
4 series,2016,15250,manual,16584,diesel,30,62.8,2.0,10,0.9195610226724554
1 series,2018,11700,manual,30273,diesel,145,53.3,1.5,8,0.3864830046576157
2 series,2017,10900,manual,62021,diesel,145,65.7,2.0,9,0.1757469244288225
5 series,2016,14400,automatic,51552,diesel,30,62.8,2.0,10,0.27932960893854747
1 series,2016,11100,manual,29508,petrol,125,53.3,1.5,10,0.37616917446116305
1 series,2017,11100,manual,30865,diesel,145,72.4,1.5,9,0.3596306496031103
5 series,2014,12400,automatic,46356,diesel,30,62.8,2.0,12,0.2674950383984813
1 series,2016,12800,manual,18343,diesel,20,70.6,1.5,10,0.697813879954206
5 series,2014,15000,automatic,13858,diesel,125,57.6,2.0,12,1.0824072737768797
2 series,2017,12750,manual,33752,petrol,125,52.3,1.5,9,0.3777553922730505
x3,2016,21750,automatic,19083,diesel,150,54.3,2.0,10,1.139757899701305
2 series,2017,13900,automatic,46281,petrol,125,51.4,1.5,9,0.30033923208227997
x1,2017,14000,automatic,54183,diesel,150,65.7,2.0,9,0.2583836258605098
x1,2017,15200,automatic,36701,diesel,30,65.7,2.0,9,0.41415765238004415
3 series,2017,13500,automatic,48082,petrol,150,51.4,2.0,9,0.2807703506509713
x1,2016,12150,manual,77482,diesel,20,68.9,2.0,10,0.15681061407810845
5 series,2016,14000,automatic,39235,diesel,30,62.8,2.0,10,0.3568242640499554
3 series,2018,19490,automatic,30703,diesel,145,57.6,2.0,8,0.634791388463668
1 series,2015,15499,semi-auto,20000,diesel,125,60.1,2.0,11,0.77495
2 series,2017,13000,semi-auto,34971,diesel,150,72.4,1.5,9,0.3717365817391553
1 series,2014,10600,semi-auto,44900,diesel,30,64.2,2.0,12,0.23608017817371937
x3,2017,23000,semi-auto,16945,diesel,150,54.3,2.0,9,1.3573325464738861
m4,2016,29998,semi-auto,34209,petrol,300,34.0,3.0,10,0.8769037387821919
1 series,2017,12498,manual,14138,diesel,20,72.4,1.5,9,0.8840005658508983
1 series,2015,7948,manual,74375,diesel,30,65.7,2.0,11,0.10686386554621849
x1,2017,17800,automatic,31238,diesel,145,55.4,2.0,9,0.5698188104232025
3 series,2015,13100,manual,37204,diesel,30,64.2,2.0,11,0.352112676056338
1 series,2017,11400,manual,26265,diesel,0,83.1,1.5,9,0.4340376927470017
3 series,2016,14800,automatic,38838,diesel,125,57.6,2.0,10,0.38107008599824915
x3,2016,15900,automatic,59692,diesel,145,54.3,2.0,10,0.26636735240903303
3 series,2016,16300,automatic,34623,diesel,125,57.6,2.0,10,0.47078531611934266
3 series,2017,14800,manual,29968,diesel,30,64.2,2.0,9,0.4938601174586225
3 series,2017,19700,automatic,27748,diesel,200,49.6,3.0,9,0.7099610782759118
3 series,2015,14450,automatic,47288,diesel,30,62.8,2.0,11,0.3055743529013703
5 series,2016,13500,automatic,64117,diesel,30,65.7,2.0,10,0.2105525835581827
5 series,2015,10900,automatic,79563,diesel,125,60.1,2.0,11,0.13699835350602668
3 series,2016,12200,manual,34842,diesel,30,67.3,2.0,10,0.3501521152631881
2 series,2016,10600,manual,24313,diesel,0,74.3,1.5,10,0.43598075103853906
2 series,2015,9100,manual,40789,diesel,0,74.3,1.5,11,0.22309936502488417
3 series,2017,12600,automatic,66743,diesel,30,67.3,2.0,9,0.1887838425003371
5 series,2016,13600,automatic,65612,diesel,30,62.8,2.0,10,0.20727915625190513
1 series,2016,11700,manual,21390,diesel,20,72.4,1.5,10,0.5469845722300141
3 series,2017,12450,automatic,72065,diesel,20,70.6,2.0,9,0.17276070214389788
5 series,2016,13500,automatic,62444,diesel,125,60.1,2.0,10,0.21619370956376913
x3,2013,12750,automatic,71558,diesel,160,50.4,2.0,13,0.17817714301685347
x1,2017,16700,automatic,34666,diesel,145,65.7,2.0,9,0.48174003346218197
1 series,2016,11400,manual,22920,diesel,20,72.4,1.5,10,0.4973821989528796
x5,2016,21000,automatic,71626,other,0,85.6,2.0,10,0.2931896238795968
x1,2017,14700,manual,38405,diesel,145,68.9,2.0,9,0.3827626611118344
3 series,2018,19000,automatic,20681,diesel,145,64.2,2.0,8,0.9187176635559209
3 series,2017,15400,automatic,20529,diesel,145,65.7,2.0,9,0.7501583126309124
x3,2016,19000,automatic,42691,diesel,145,54.3,2.0,10,0.44505867747300365
1 series,2018,15000,automatic,10058,petrol,145,37.2,1.5,8,1.4913501690196858
3 series,2016,17950,automatic,40337,diesel,145,53.3,3.0,10,0.44500086768971414
5 series,2018,22600,automatic,23195,diesel,145,65.7,2.0,8,0.974347919810304
1 series,2017,13200,manual,17117,petrol,145,53.3,1.5,9,0.771163171116434
3 series,2017,12750,manual,22153,diesel,150,68.9,2.0,9,0.5755428158714395
3 series,2015,9750,manual,56038,diesel,20,68.9,2.0,11,0.17398907883935902
3 series,2017,10900,automatic,78345,diesel,0,74.3,2.0,9,0.13912821494671007
x4,2016,21400,automatic,31084,diesel,145,54.3,2.0,10,0.6884570840303693
1 series,2017,14600,automatic,5615,petrol,145,58.9,1.5,9,2.6001780943900266
3 series,2017,12600,automatic,55751,petrol,150,51.4,1.5,9,0.22600491471005005
x4,2017,22500,automatic,35016,diesel,150,54.3,2.0,9,0.6425633995887594
1 series,2016,8000,manual,81579,diesel,0,83.1,1.5,10,0.09806445286164331
x1,2017,14800,manual,31518,diesel,145,60.1,2.0,9,0.46957294244558667
1 series,2016,9900,manual,44008,diesel,0,83.1,1.5,10,0.2249590983457553
2 series,2016,9500,manual,59509,diesel,20,68.9,2.0,10,0.15963971836192845
1 series,2016,14200,automatic,36858,diesel,125,60.1,2.0,10,0.3852623582397309
1 series,2016,12100,automatic,25786,diesel,0,74.3,2.0,10,0.46924687815093463
1 series,2016,12700,automatic,24592,diesel,20,68.9,2.0,10,0.5164281067013663
1 series,2016,8800,manual,51002,diesel,0,83.1,1.5,10,0.17254225324497077
1 series,2017,15000,automatic,26052,diesel,145,68.9,2.0,9,0.5757715338553662
3 series,2017,17100,automatic,31528,diesel,145,64.2,2.0,9,0.5423750317178381
x3,2017,21750,automatic,25776,diesel,200,47.9,3.0,9,0.8438081936685289
1 series,2016,13400,manual,18055,petrol,125,52.3,1.5,10,0.7421766823594572
3 series,2014,9900,automatic,63223,diesel,20,68.9,2.0,12,0.15658858326874714
1 series,2016,13700,manual,8719,petrol,125,52.3,1.5,10,1.5712811102190618
4 series,2018,16900,automatic,27133,petrol,145,44.8,2.0,8,0.6228577746655364
5 series,2018,21950,automatic,21947,diesel,150,68.9,2.0,8,1.0001366929420878
x1,2013,8750,manual,80625,diesel,160,51.4,2.0,13,0.10852713178294573
1 series,2016,13750,automatic,8707,petrol,30,55.5,1.5,10,1.5791891581486162
1 series,2017,12800,manual,10861,petrol,125,53.3,1.5,9,1.178528680600313
4 series,2017,16000,manual,16359,petrol,145,46.3,2.0,9,0.9780548933308882
4 series,2017,16600,automatic,46913,diesel,145,65.7,2.0,9,0.3538464817854326
3 series,2017,15100,manual,37747,diesel,125,60.1,2.0,9,0.40003179060587596
4 series,2017,16750,manual,24882,petrol,145,46.3,2.0,9,0.6731773973153283
1 series,2015,12450,manual,24474,petrol,125,52.3,1.5,11,0.5087031135082128
3 series,2018,15700,automatic,29394,petrol,145,48.7,2.0,8,0.5341226100564741
5 series,2016,12600,manual,59528,diesel,125,60.1,2.0,10,0.2116650987770461
2 series,2016,14600,manual,15577,petrol,160,44.1,2.0,10,0.9372793220774218
x1,2016,13700,manual,52226,diesel,20,68.9,2.0,10,0.26232144908666183
3 series,2017,16900,automatic,12330,diesel,30,64.2,2.0,9,1.3706407137064072
4 series,2015,15998,semi-auto,62943,diesel,30,65.7,2.0,11,0.25416646807428944
x1,2020,31498,semi-auto,1560,diesel,145,60.1,2.0,6,20.19102564102564
2 series,2020,27998,manual,1580,petrol,150,43.5,1.5,6,17.72025316455696
x5,2020,54998,semi-auto,1500,diesel,150,37.7,3.0,6,36.665333333333336
3 series,2014,11998,manual,11545,petrol,165,44.8,2.0,12,1.0392377652663491
2 series,2020,25998,automatic,3160,hybrid,140,113.0,1.5,6,8.227215189873418
1 series,2020,31998,semi-auto,1560,diesel,150,48.7,2.0,6,20.51153846153846
x2,2020,29998,manual,1850,diesel,150,49.6,2.0,6,16.215135135135135
x4,2019,33998,semi-auto,7272,diesel,150,42.8,2.0,7,4.675192519251925
1 series,2017,14995,manual,19866,diesel,30,65.7,2.0,9,0.7548072082955803
4 series,2016,17995,semi-auto,22476,petrol,145,48.7,2.0,10,0.8006317850151272
1 series,2013,14498,semi-auto,42786,petrol,235,37.7,3.0,13,0.3388491562660683
1 series,2015,10998,manual,42410,diesel,30,65.7,2.0,11,0.25932563074746523
5 series,2014,11998,semi-auto,60681,diesel,125,57.6,2.0,12,0.19772251610883143
x1,2016,14498,manual,57717,diesel,125,58.9,2.0,10,0.2511911568515342
3 series,2017,16998,semi-auto,8096,petrol,145,51.4,2.0,9,2.0995553359683794
1 series,2015,11498,manual,49151,diesel,30,62.8,2.0,11,0.233932168216313
x6,2017,29498,semi-auto,40429,diesel,200,47.1,3.0,9,0.7296247742956788
m4,2016,31498,semi-auto,21107,petrol,300,34.0,3.0,10,1.4923011323257687
1 series,2016,19498,semi-auto,33043,petrol,200,39.8,3.0,10,0.5900795932572708
x1,2016,17998,semi-auto,50378,diesel,125,57.6,2.0,10,0.35725912104490054
5 series,2019,25998,semi-auto,11115,diesel,145,65.7,2.0,7,2.339001349527665
x1,2013,8298,manual,69020,diesel,125,57.6,2.0,13,0.12022602144305998
1 series,2014,13298,manual,55834,petrol,300,35.3,3.0,12,0.238170290503994
3 series,2019,21898,semi-auto,5761,diesel,150,55.4,2.0,7,3.8010762020482556
1 series,2017,11498,semi-auto,47110,diesel,0,78.5,1.5,9,0.2440670770537041
x3,2014,17495,semi-auto,54075,diesel,145,54.3,2.0,12,0.3235321312991216
5 series,2015,14998,semi-auto,45152,diesel,30,62.8,2.0,11,0.33216690290574064
2 series,2014,10498,manual,52091,diesel,125,58.9,2.0,12,0.2015319344992417
1 series,2019,19998,semi-auto,4812,petrol,145,47.9,2.0,7,4.155860349127182
x1,2016,16698,semi-auto,37272,petrol,160,44.8,2.0,10,0.4480038634900193
3 series,2019,27998,semi-auto,4250,diesel,145,48.7,2.0,7,6.5877647058823525
5 series,2018,27798,semi-auto,15711,diesel,145,60.1,3.0,8,1.7693335879320222
1 series,2016,18298,manual,21236,petrol,260,36.2,3.0,10,0.8616500282539085
1 series,2017,14698,semi-auto,24008,petrol,145,55.5,1.5,9,0.6122125958013995
x1,2016,18498,semi-auto,25994,diesel,145,55.4,2.0,10,0.711625759790721
x5,2015,27998,automatic,24188,diesel,200,47.1,3.0,11,1.1575161236977014
x5,2015,21498,automatic,59216,diesel,200,47.9,3.0,11,0.36304377195352605
1 series,2017,19498,manual,21171,petrol,260,36.2,3.0,9,0.9209768078975957
1 series,2017,14498,manual,24259,petrol,145,52.3,1.5,9,0.5976338678428624
5 series,2017,22998,semi-auto,19379,diesel,145,65.7,2.0,9,1.1867485422364414
1 series,2017,14498,manual,20790,diesel,145,70.6,1.5,9,0.6973544973544974
5 series,2019,29898,semi-auto,2743,diesel,145,60.1,2.0,7,10.899744804958075
3 series,2019,22998,semi-auto,6000,petrol,145,48.7,2.0,7,3.833
3 series,2019,29998,manual,3980,diesel,145,53.3,2.0,7,7.537185929648241
4 series,2019,29898,semi-auto,101,diesel,145,60.1,2.0,7,296.019801980198
5 series,2017,20498,semi-auto,12725,diesel,145,68.9,2.0,9,1.6108447937131631
3 series,2019,27650,semi-auto,18200,diesel,150,48.7,2.0,7,1.5192307692307692
z4,2016,18650,semi-auto,25300,petrol,205,41.5,2.0,10,0.7371541501976284
4 series,2018,22995,automatic,7200,petrol,145,48.7,2.0,8,3.19375
x6,2018,36995,semi-auto,6100,diesel,145,47.1,3.0,8,6.064754098360655
5 series,2018,26995,automatic,6800,diesel,145,68.9,2.0,8,3.9698529411764705
1 series,2013,11995,manual,31600,diesel,125,57.6,2.0,13,0.37958860759493673
5 series,2018,25995,semi-auto,8700,diesel,145,49.6,2.0,8,2.9879310344827585
x6,2016,29995,automatic,43600,diesel,200,44.8,3.0,10,0.6879587155963303
3 series,2018,21495,semi-auto,16452,petrol,150,48.7,2.0,8,1.3065280816921956
5 series,2017,22998,automatic,15838,diesel,145,60.1,2.0,9,1.4520772824851622
5 series,2019,34498,automatic,6775,diesel,145,51.4,3.0,7,5.091955719557196
1 series,2019,18498,semi-auto,11234,diesel,145,68.9,2.0,7,1.6466085098807193
7 series,2019,45898,semi-auto,5893,diesel,145,44.1,3.0,7,7.7885627015102665
x3,2019,37898,semi-auto,9781,diesel,145,48.7,3.0,7,3.874654943257336
x5,2016,34498,automatic,17303,hybrid,0,85.6,2.0,10,1.9937583078078946
1 series,2016,17998,manual,25334,petrol,300,35.3,3.0,10,0.7104286729296597
3 series,2016,18498,semi-auto,36501,diesel,145,53.3,3.0,10,0.5067806361469549
2 series,2019,23998,semi-auto,2318,petrol,145,47.9,2.0,7,10.352890422778257
x1,2017,21498,semi-auto,14418,diesel,145,55.4,2.0,9,1.4910528506034124
x1,2017,18500,semi-auto,12160,diesel,145,65.7,2.0,9,1.5213815789473684
x3,2018,31000,semi-auto,20290,diesel,145,48.7,3.0,8,1.5278462296697881
x1,2016,19500,semi-auto,13690,diesel,125,57.6,2.0,10,1.4243973703433164
x5,2017,34000,automatic,22158,diesel,205,47.1,3.0,9,1.534434515750519
x5,2015,28000,automatic,36174,diesel,205,47.1,3.0,11,0.7740366008735556
3 series,2018,22000,semi-auto,30000,diesel,150,53.3,3.0,8,0.7333333333333333
1 series,2016,16000,manual,40125,petrol,305,35.3,3.0,10,0.3987538940809969
3 series,2017,18000,manual,20087,petrol,165,44.8,2.0,9,0.8961019564892717
3 series,2018,22500,semi-auto,11150,petrol,145,48.7,2.0,8,2.0179372197309418
1 series,2018,15500,manual,5827,petrol,145,37.7,1.5,8,2.6600308906813113
4 series,2019,29000,semi-auto,14000,diesel,145,50.4,3.0,7,2.0714285714285716
4 series,2019,24700,semi-auto,5196,diesel,145,65.7,2.0,7,4.7536566589684375
2 series,2019,24000,semi-auto,2500,petrol,145,39.2,1.5,7,9.6
1 series,2018,16000,manual,7000,diesel,145,50.4,1.5,8,2.2857142857142856
x3,2019,56000,semi-auto,26,petrol,145,24.8,3.0,7,2153.846153846154
1 series,2019,32000,semi-auto,4493,petrol,145,34.5,2.0,7,7.122190073447585
x1,2018,20000,semi-auto,10545,diesel,145,60.1,2.0,8,1.896633475580844
x1,2017,22000,semi-auto,16500,petrol,145,44.8,2.0,9,1.3333333333333333
x3,2015,17498,semi-auto,48867,diesel,145,54.3,2.0,11,0.35807395583931895
1 series,2017,15798,semi-auto,23157,petrol,145,54.3,1.5,9,0.6822127218551626
x1,2016,18998,semi-auto,30434,diesel,125,57.6,2.0,10,0.6242360517841887
3 series,2015,20000,semi-auto,39700,diesel,160,50.4,3.0,11,0.5037783375314862
5 series,2019,28000,semi-auto,5739,diesel,145,62.8,2.0,7,4.878898762850671
x5,2017,41500,automatic,18000,diesel,145,42.8,3.0,9,2.3055555555555554
1 series,2018,16000,semi-auto,24275,diesel,145,68.9,1.5,8,0.659114315139032
4 series,2017,20800,semi-auto,14774,diesel,125,58.9,2.0,9,1.4078787058345743
3 series,2018,20500,semi-auto,12133,petrol,145,48.7,2.0,8,1.6896068573312453
1 series,2017,15500,manual,15645,petrol,125,52.3,1.5,9,0.9907318632150847
x4,2016,25000,semi-auto,25085,diesel,200,47.9,3.0,10,0.9966115208291808
1 series,2017,21500,semi-auto,19486,petrol,145,39.8,3.0,9,1.1033562557733758
x2,2019,30000,semi-auto,5431,diesel,145,48.7,2.0,7,5.523844595838704
7 series,2020,53000,semi-auto,6555,diesel,145,42.2,3.0,6,8.085430968726163
3 series,2014,14000,semi-auto,73923,diesel,160,52.3,3.0,12,0.18938625326353098
1 series,2018,25990,semi-auto,6500,petrol,150,32.5,3.0,8,3.9984615384615383
x4,2018,32000,semi-auto,10920,diesel,150,42.8,2.0,8,2.93040293040293
3 series,2019,24300,semi-auto,8000,petrol,150,44.8,2.0,7,3.0375
5 series,2019,33000,semi-auto,12250,diesel,150,53.3,3.0,7,2.693877551020408
x3,2016,20500,semi-auto,37000,diesel,145,54.3,2.0,10,0.5540540540540541
3 series,2016,19000,semi-auto,40500,diesel,145,53.3,3.0,10,0.4691358024691358
3 series,2017,18000,semi-auto,33000,diesel,145,60.1,2.0,9,0.5454545454545454
m4,2020,51000,semi-auto,2000,petrol,145,32.5,3.0,6,25.5
x3,2015,16500,semi-auto,48000,diesel,145,54.3,2.0,11,0.34375
4 series,2017,19800,manual,17410,petrol,150,40.9,2.0,9,1.1372774267662262
1 series,2017,13500,manual,25975,petrol,145,53.3,1.5,9,0.519730510105871
1 series,2019,18500,semi-auto,12054,petrol,150,54.3,1.5,7,1.5347602455616394
1 series,2014,9300,manual,51203,diesel,30,65.7,2.0,12,0.18162998261820595
x5,2019,50000,semi-auto,5145,diesel,150,37.7,3.0,7,9.718172983479105
1 series,2017,11800,manual,23274,diesel,20,72.4,1.5,9,0.5070035232448226
4 series,2018,22000,semi-auto,10948,diesel,145,60.1,2.0,8,2.009499451954695
2 series,2019,27500,semi-auto,7000,petrol,145,38.2,3.0,7,3.9285714285714284
5 series,2019,28000,semi-auto,16000,diesel,145,60.1,3.0,7,1.75
2 series,2020,29000,manual,5550,petrol,145,43.5,1.5,6,5.225225225225225
3 series,2014,16800,semi-auto,50687,diesel,160,52.3,3.0,12,0.3314459328821986
3 series,2013,15500,semi-auto,46500,diesel,150,55.4,3.0,13,0.3333333333333333
x1,2016,19300,semi-auto,25300,diesel,125,60.1,2.0,10,0.7628458498023716
1 series,2017,16998,semi-auto,12458,diesel,30,62.8,2.0,9,1.3644244662064537
1 series,2017,21498,semi-auto,21200,petrol,200,39.8,3.0,9,1.014056603773585
4 series,2016,18998,semi-auto,20151,diesel,145,53.3,3.0,10,0.9427819959307231
x1,2017,18498,manual,13278,diesel,125,58.9,2.0,9,1.3931314957071848
5 series,2019,27000,semi-auto,9000,petrol,145,48.7,2.0,7,3.0
2 series,2018,18000,semi-auto,13174,diesel,145,49.6,2.0,8,1.366327614999241
7 series,2016,26000,semi-auto,39085,diesel,145,54.3,3.0,10,0.6652168351029807
3 series,2017,25500,semi-auto,14834,diesel,145,51.4,3.0,9,1.7190238640959956
3 series,2016,18000,semi-auto,15088,diesel,145,55.4,3.0,10,1.1930010604453871
1 series,2017,16800,semi-auto,16761,diesel,145,67.3,2.0,9,1.0023268301413997
3 series,2018,21300,semi-auto,18564,diesel,145,60.1,2.0,8,1.1473820297349708
x2,2019,29000,semi-auto,1418,petrol,145,36.2,2.0,7,20.451339915373765
3 series,2019,34000,semi-auto,5525,diesel,145,50.4,2.0,7,6.153846153846154
3 series,2017,24000,semi-auto,15338,diesel,145,49.6,3.0,9,1.5647411657321684
3 series,2013,14990,semi-auto,35500,diesel,145,55.4,2.0,13,0.42225352112676057
5 series,2017,30000,semi-auto,11086,diesel,145,53.3,3.0,9,2.7061158217571712
1 series,2018,15800,semi-auto,11132,petrol,145,55.5,1.5,8,1.4193316564858067
1 series,2018,16500,semi-auto,7656,petrol,145,37.2,1.5,8,2.1551724137931036
x3,2015,19500,semi-auto,41567,diesel,145,54.3,2.0,11,0.46912214015926096
5 series,2019,40000,semi-auto,1034,petrol,145,39.2,3.0,7,38.684719535783366
1 series,2017,21800,semi-auto,20294,petrol,200,39.8,3.0,9,1.0742091258500048
3 series,2017,20998,semi-auto,30422,diesel,145,51.4,3.0,9,0.6902241798698311
3 series,2017,19698,semi-auto,20313,diesel,145,56.5,3.0,9,0.9697238221828386
3 series,2016,21498,semi-auto,28775,diesel,160,51.4,3.0,10,0.7471068635968723
3 series,2015,17200,semi-auto,6147,petrol,145,47.9,2.0,11,2.7981129006019194
x5,2013,24000,automatic,45150,diesel,200,45.6,3.0,13,0.53156146179402
1 series,2019,26000,manual,2073,diesel,145,57.7,1.5,7,12.542209358417752
4 series,2020,27000,semi-auto,25,petrol,145,48.7,2.0,6,1080.0
4 series,2020,27500,semi-auto,25,diesel,145,60.1,2.0,6,1100.0
x5,2019,52000,semi-auto,6500,diesel,145,37.7,3.0,7,8.0
4 series,2019,32000,semi-auto,4025,diesel,145,50.4,3.0,7,7.950310559006211
2 series,2015,10498,manual,27221,diesel,0,74.3,1.5,11,0.38565813158958157
3 series,2013,9985,manual,75561,diesel,20,68.9,2.0,13,0.1321448895594288
x4,2015,19485,manual,53755,diesel,160,52.3,2.0,11,0.362477909031718
3 series,2013,9965,semi-auto,95043,diesel,30,62.8,2.0,13,0.10484727965236787
x1,2014,10985,semi-auto,56952,diesel,160,52.3,2.0,12,0.192881724961371
1 series,2017,13489,semi-auto,59066,diesel,20,72.4,1.5,9,0.22837165205024887
3 series,2016,13994,semi-auto,46889,diesel,30,67.3,2.0,10,0.29844952974045086
5 series,2019,35950,semi-auto,5137,diesel,145,51.4,3.0,7,6.9982480046719875
4 series,2019,25490,semi-auto,8794,diesel,145,60.1,2.0,7,2.8985672049124402
5 series,2019,34900,semi-auto,9854,diesel,145,53.3,3.0,7,3.541708950679927
7 series,2018,42000,semi-auto,7123,diesel,145,52.3,3.0,8,5.896391969675698
1 series,2014,12000,manual,41500,diesel,125,57.6,2.0,12,0.2891566265060241
1 series,2016,14000,manual,24678,diesel,30,65.7,2.0,10,0.5673069130399546
m4,2019,48000,semi-auto,2258,petrol,145,34.0,3.0,7,21.257750221434897
2 series,2019,23950,semi-auto,4413,diesel,145,46.3,2.0,7,5.42714706548833
4 series,2019,26550,semi-auto,7292,diesel,145,58.9,2.0,7,3.640976412506857
x1,2016,18000,semi-auto,46354,diesel,125,57.6,2.0,10,0.38831600293394314
6 series,2018,27990,semi-auto,21525,diesel,150,49.6,3.0,8,1.3003484320557492
1 series,2017,13450,manual,15663,petrol,150,53.3,1.5,9,0.8587116133563174
x5,2017,34990,automatic,18000,diesel,200,47.1,3.0,9,1.943888888888889
4 series,2020,29500,semi-auto,17,diesel,145,60.1,2.0,6,1735.2941176470588
